"","Nazwa_IZFiA","OZZ17","TER17","OB17","Profil17","PW17","NW17","Aktywa17","OZN17","OZU17","OZW17","OZZ18","OZN18","OZU18","OZW18","TER18","OB18","Profil18","PW18","NW18","Aktywa18","TFI","Lokalizacja","mean_daily_log_rr_16","std_daily_log_rr_16","var16_5","var16_95","es16","eg16","mean_daily_log_rr_17","std_daily_log_rr_17","var17_5","var17_95","es17","eg17","Data_utworzenia","yearly_rr_17","yearly_rr_16","yearly_std_16","yearly_std_17","zm.akt.17.18.proc","zm.akt.17.18.flow.proc","sr16","sr17","Wiek"
"92","Credit Agricole fio Subfundusz Credit Agricole Dynamiczny Polski","2.75","2.88","2.8","mieszane",1000,500,4.49535531998088,"3",1,"0",2.75,NA,NA,0,2.86,"2.83","mieszane",1000,500,4.34380542185368,"Credit Agricole","zagraniczne","0.000299086","0.004870746","-0.008898239","2.233457977","-0.00019528","-0.06820792","0.000636667","0.003347045","-0.009331472","1.619900423","9.35134E-05","0.054037183",2005-09-26,"0.15852998","0.074771595","1.222557149","0.836761234",-0.140625,-0.29915498,0.0488906347232034,0.172725473082803,12.8849315068493
"93","Credit Agricole fio Subfundusz Credit Agricole Lokacyjny","1.95","1.96","1.96","pieniê¿ne",1000,500,4.30271282795416,"2",1,"0",1.95,NA,NA,0,1.97,"1.97","gotówkowe i pieniê¿ne ",1000,500,4.12874598893943,"Credit Agricole","polskie","1.39942E-05","0.000286389","-0.000542926","0.136274535","4.23532E-06","0.002487369","6.49412E-05","0.000224251","-0.000572739","0.095904655","1.15655E-05","0.003599522",2006-11-03,"0.016170369","0.003498546","0.071883591","0.056062742",-0.159675236806495,-0.175845605806495,-0.160001105120082,0.0387132152758422,11.7808219178082
"94","Credit Agricole fio Subfundusz Credit Agricole Stabilnego Wzrostu","2.25","2.27","2.27","mieszane",1000,500,5.70810644613626,"3",1,"0",2.25,NA,NA,0,2.3,"2.28","mieszane",1000,500,5.5683445037611,"Credit Agricole","zagraniczne","0.000118732","0.002841081","-0.004922266","1.235488788","-5.23147E-05","0.006499914","0.000411955","0.001730078","-0.005005798","0.960363479","-6.17201E-06","0.02240587",2003-05-05,"0.102576691","0.029683098","0.713111342","0.432519572",-0.130434782608696,-0.233011473608696,0.0205901899678382,0.204792330183847,15.2821917808219
"95","DB Funds FIO (Dynamiczny)","2","0.62","6.05","akcji",100,50,0.741937344729377,"2",0,"0",2,2,0,0,3.12,"2.97","akcji ",100,50,0.587786664902119,"DB Funds","polskie","0.000385856","0.005690371","-0.010762329","2.712106918","-7.96984E-05","-0.00227319","0.000445982","0.004327177","-0.010810279","1.983318814","0.00016457","0.084471831",2012-04-16,"0.111495504","0.096849826","1.433973378","1.086121485",-0.142857142857143,-0.254352646857143,0.0570790415329454,0.0897648240518877,6.32602739726027
"96","DB Funds FIO (Globalny Zrównowa¿ony)","1.3","0.72","8.1","mieszane",100,50,0.336472236621213,"2",0,"0",1.3,1.5,0,0,2.2,"4.34","mieszane",100,50,0.336472236621213,"DB Funds","zagraniczne","0.000197986","0.004222347","-0.006935828","1.747828721","1.86242E-05","0.009597613","-0.000106762","0.002761714","-0.007470407","1.424475535","0.000102937","0.039060795",2012-04-16,"-0.026690492","0.049694435","1.064031546","0.693190217",0,0.026690492,0.0326065849555179,-0.0587003264069435,6.32602739726027
"97","DB Funds FIO (Instrumentów D³u¿nych)","0.5","0.34","5.12","d³u¿ne",100,50,0.993251773010283,"1",0,"0",0.5,0.5,0,0,1.57,"9.59","d³u¿ne ",100,50,0.955511445027436,"DB Funds","polskie","2.07504E-05","0.000733266","-0.001034419","0.260673692","6.71787E-05","0.032175667","2.7634E-05","0.000477087","-0.000978139","0.277115255","3.06165E-05","0.007682408",2012-04-16,"0.00690849","0.005208345","0.184782989","0.119748894",-0.0370370370370371,-0.0439455270370371,-0.0529900238814732,-0.0592198371368674,6.32602739726027
"98","Esaliens Akcji Azjatyckich","2.5","2.35","4.2","akcji",100,100,2.10413415427021,"5",0,"0",2.5,5.25,0,0,3.18,"4.1","akcji ",100,100,2.50959926237837,"Esaliens","zagraniczne","0.000363025","0.007392816","-0.012331176","3.021138151","-0.000794055","-0.247350395","0.000725744","0.003752962","-0.014192065","2.201293611","0.000547744","0.139366755",2015-10-09,"0.175630017","0.088578202","1.811239828","0.91196979",0.5,0.324369983,0.0406231139921687,0.177231766635603,2.84383561643836
"99","Esaliens Amerykañskich Spó³ek Wzrostowych","2.5","2.44","4.07","akcji",100,100,0.955511445027436,"5",0,"0",2.5,5.25,0,0,2.55,"3.3","akcji ",100,100,1.16315080980568,"Esaliens","zagraniczne","0.000126781","0.012742741","-0.020703601","5.072382365","-0.000542339","-0.205752665","0.000360265","0.006356514","-0.026764299","3.43137734","3.82904E-05","-0.057118384",2015-10-09,"0.087184082","0.030934498","3.121971444","1.544632798",0.230769230769231,0.143585148769231,0.00510398582620732,0.0473795986300169,2.84383561643836
"100","Esaliens Globalnych Papierów D³u¿nych","2","2.69","3.14","d³u¿ne",100,100,2.88480071284671,"3",0,"0",2,2.5,0,0,2.47,"3.1","d³u¿ne ",100,100,2.99573227355399,"Esaliens","zagraniczne","0.000385072","0.002766457","-0.00431934","1.05823834","-0.000625204","-0.137393826","0.000179616","0.001245742","-0.005440583","0.774565324","0.000471416","0.105380931",2015-10-09,"0.043467126","0.093957457","0.677782067","0.30271522",0.11731843575419,0.07385130975419,0.116493871473292,0.0973427302399926,2.84383561643836
"101","Esaliens Ma³ych Spó³ek Amerykañskich","2.5","2.99","4.18","akcji",100,100,-0.510825623765991,"5",0,"0",2.5,5.25,0,0,2.49,"3.39","akcji ",100,100,1.28093384546206,"Esaliens","zagraniczne","0.00087107","0.010789175","-0.017948838","4.39746535","-0.001112307","-0.331654719","0.000253486","0.006442246","-0.020803526","3.329840639","0.000704957","0.1285613",2015-10-09,"0.061343502","0.212541042","2.643347765","1.565465678",5,4.938656498,0.0747313859400562,0.0302424401028612,2.84383561643836
"102","Esaliens Okazji Rynkowych","2.5","1.48","4.09","akcji",100,100,-0.693147180559945,"5",0,"0",2.5,5.25,0,0,2.56,"3.33","akcji ",100,100,1.38629436111989,"Esaliens","zagraniczne","5.95027E-05","0.016955515","-0.027764706","6.74682357","-0.001841705","-0.49401485","0.000379412","0.010522817","-0.033083283","4.979591053","-0.000401418","-0.165129199",2015-10-09,"0.089920645","0.014399643","4.12019006","2.504430373",7,6.910079355,-0.000145710996642713,0.0303145361190682,2.84383561643836
"103","Esaliens Parasol FIO Subfundusz Akcji","3.5","3.38","3.6","akcji",100,100,6.98517917594694,"4",0,"0",3.5,4,0,0,3.26,"3.61","akcji ",100,100,6.71744187225863,"Esaliens","polskie","0.000329657","0.0077368","-0.01442902","3.621684014","-0.000622536","-0.182379925","0.000667732","0.006009112","-0.01490558","2.718788925","0.00020446","0.071082538",1999-01-04,"0.166265162","0.082414347","1.941936825","1.502277959",-0.234891254049051,-0.401156416049051,0.0347150052113565,0.101356184511524,19.6164383561644
"104","Esaliens Parasol FIO Subfundusz CEE Select","3.5","0","4.46","akcji",100,100,1.02961941718116,"4",0,"20",3.5,4,0,20,0.96,"4.63","akcji ",100,100,1.33500106673234,"Esaliens","zagraniczne","0.000460586","0.006999929","-0.011783594","2.957682192","-0.000279107","-0.063948572","0.00030207","0.004205357","-0.011670981","2.313717803","0.000343431","0.099292208",2014-09-01,"0.075215344","0.115146488","1.756982146","1.051339357",0.357142857142857,0.281927513142857,0.056999149495057,0.0582260557377764,3.94794520547945
"105","Esaliens Parasol FIO Subfundusz Obligacji","1.5","1.42","1.58","d³u¿ne",100,100,5.16934698525108,"1",0,"0",1.5,1,0,0,1.38,"1.58","d³u¿ne ",100,100,5.10715686108688,"Esaliens","polskie","-5.06088E-05","0.001777291","-0.002836033","0.711844222","-8.42573E-05","-0.004384007","0.000138456","0.000960434","-0.002725035","0.632711903","2.05797E-05","-0.008079056",1999-01-04,"0.034475637","-0.012652202","0.446100103","0.240108595",-0.0602957906712174,-0.0947714276712174,-0.0619865402721057,0.0852765682961079,19.6164383561644
"106","Esaliens Parasol FIO Subfundusz Pieniê¿ny","0.8","0.83","0.85","pieniê¿ne",100,100,5.99346254977065,"0",0,"0",0.8,0,0,0,0.82,"0.85","gotówkowe i pieniê¿ne ",100,100,6.34528542206381,"Esaliens","polskie","4.46271E-05","0.000179943","-0.000373228","0.093680259","6.32777E-05","0.015427096","8.93295E-05","0.000207067","-0.000342265","0.069753392","4.51493E-05","0.010703215",1999-01-04,"0.022243043","0.011156764","0.045165654","0.051766732",0.421656686626746,0.399413643626746,-0.0850920037602024,0.159234370831058,19.6164383561644
"107","Esaliens Parasol FIO Subfundusz Stabilny","2.6","1.65","3.29","mieszane",100,100,3.80220813942094,"3",0,"10",2.6,3,0,10,1.75,"3.16","mieszane",100,100,4.22829253473184,"Esaliens","zagraniczne","4.87386E-05","0.002786525","-0.004929855","1.237393529","-0.000168953","-0.051743622","0.000202768","0.00177137","-0.005385335","0.89826842","-2.12051E-05","0.009420143",2014-09-01,"0.050489227","0.012184659","0.699417788","0.442842573",0.53125,0.480760773,-0.00402526365257385,0.0823977395687293,3.94794520547945
"108","Esaliens Parasol FIO Subfundusz Strateg","3.5","2.96","3.64","mieszane",100,100,4.84339937472034,"4",0,"0",3.5,4,0,0,2.81,"3.67","mieszane",100,100,4.77153172320332,"Esaliens","zagraniczne","-6.62662E-05","0.004526977","-0.008486303","2.130061955","-0.000611049","-0.178530083","0.000251816","0.003335185","-0.008897473","1.242671255","0.000211737","0.029508221",1999-01-04,"0.06270225","-0.016566538","1.136271337","0.833796338",-0.0693459416863673,-0.132048191686367,-0.0277808098929455,0.0584102469397029,19.6164383561644
"109","Esaliens Senior FIO","2.5","1.29","2.57","mieszane",100,100,7.02045876889522,"3",0,"0",2.5,3,0,0,1.26,"2.57","mieszane",100,100,6.96630716593175,"Esaliens","zagraniczne","4.39502E-05","0.002240358","-0.003998574","1.003642148","-0.000231559","-0.058788075","0.000189133","0.001491626","-0.004343924","0.740090145","9.99795E-06","0.009120801",1999-04-12,"0.047094177","0.010987543","0.562329742","0.372906561",-0.0527115161261503,-0.0998056931261503,-0.00713541664314103,0.0887465667304255,19.3479452054795
"110","ING BSK Indeks MSCI EMU","1.6","1.96","1.85","akcji",100,50,2.50959926237837,"0",0,"0",1.6,0,0,0,1.85,"1.84","akcji ",100,50,1.70474809223843,"ING BSK Fundusze Indeksowe","zagraniczne","0.000105405","0.014337311","-0.022464833","5.279235751","-0.001436422","-0.402943686","0.000530992","0.006303803","-0.029292205","3.563371468","-0.00081249","-0.171395737",2015-11-23,"0.123190091","0.024664697","3.369268073","1.468786133",-0.552845528455285,-0.676035619455285,0.00286848561485775,0.0743403607555709,2.72054794520548
"111","ING BSK Indeks S&P 500","1.6","1.84","1.85","akcji",100,50,2.46809953147162,"0",0,"0",1.6,0,0,0,1.85,"1.84","akcji ",100,50,2.50959926237837,"ING BSK Fundusze Indeksowe","zagraniczne","0.000419145","0.008448122","-0.013552305","3.184791688","-0.001606927","-0.306703643","0.000757256","0.004208778","-0.018014371","2.190040063","0.000477855","0.067449036",2015-11-23,"0.175683315","0.09808003","1.985308589","0.980645364",0.0423728813559322,-0.133310433644068,0.0418474137775465,0.164874398977937,2.72054794520548
"112","ING BSK Indeks WIG 20","1.6","1.85","1.85","akcji",100,50,3.06805293513362,"0",0,"0",1.6,0,0,0,1.85,"1.85","akcji ",100,50,2.3887627892351,"ING BSK Fundusze Indeksowe","polskie","0.000330096","0.012482125","-0.02055913","4.831395438","-0.004101363","-0.916596869","0.000977872","0.009552493","-0.023096536","4.188522108","4.12673E-05","0.057519806",2015-11-23,"0.226866359","0.077242512","2.933299317","2.225730787",-0.493023255813953,-0.719889614813953,0.0212192842507657,0.0956388617362464,2.72054794520548
"113","Investor Akcji","2.8","5.13","2.81","akcji",50,50,5.27504873960868,"5",0,"25",2.8,5,0,25,4.16,"2.88","akcji ",50,50,5.40132511662227,"Investor","polskie","0.00079769","0.0087948","-0.015985793","4.012434035","0.000229232","0.097763037","0.000719899","0.006305474","-0.018164616","2.754735318","0.000715814","0.139858513",1998-01-05,"0.179254793","0.199422541","2.207494722","1.576368611",0.134595701125896,-0.0446590918741045,0.0835438196803082,0.104832582840613,20.613698630137
"114","Investor Akcji Rynków Wschodz¹cych","4","10.76","8.77","akcji",50,50,0.405465108108164,"5",0,"25",4,5,0,25,4.98,"5.56","akcji ",50,50,0.470003629245736,"Investor","zagraniczne","0.000328283","0.00939777","-0.019041394","4.779389934","-0.001625769","-0.434639805","0.000422183","0.004984132","-0.019499947","2.66502993","0.000599951","0.098884154",2015-03-16,"0.10512358","0.082070695","2.358840386","1.246032976",0.0666666666666667,-0.0384569133333333,0.0284337572809388,0.0731309537990911,3.41095890410959
"115","Investor Akcji Spó³ek Dywidendowych","4","3.46","4.02","akcji",50,50,4.73532087045314,"5",0,"0",4,5,0,0,3.7,"4.09","akcji ",50,50,4.95441761409803,"Investor","polskie","0.000265126","0.008924562","-0.016472485","4.134593667","-0.000597863","-0.110709867","0.000845269","0.005653463","-0.017682544","2.718220907","6.89525E-05","0.01752037",1998-01-05,"0.210471865","0.066281424","2.240065003","1.413365708",0.244951712028095,0.0344798470280948,0.0228928285256551,0.139009927782966,20.613698630137
"116","Investor Akcji Spó³ek Wzrostowych","4","15.36","6.3","akcji",50,50,2.24070968927596,"5",0,"25",4,5,0,25,7.34,"4.64","akcji ",50,50,2.7408400239252,"Investor","zagraniczne","0.000561069","0.009206882","-0.015871153","3.983659301","-0.000511988","-0.135159209","0.000695991","0.006441534","-0.019391323","2.813985012","0.000647607","0.091047857",2015-03-16,"0.17330169","0.140267265","2.310927465","1.610383517",0.648936170212766,0.475634480212766,0.0542064893412827,0.0989215850251403,3.41095890410959
"117","Investor Ameryka £aciñska","4","4.08","4.7","akcji",50,50,2.61006979274201,"5",0,"0",4,5,0,0,4.22,"4.9","akcji ",50,50,2.14006616349627,"Investor","zagraniczne","0.001176129","0.015781736","-0.025869337","6.493203538","-0.001326655","-0.333054776","0.000265175","0.013002873","-0.026392229","6.07209362","0.001589566","0.381610278",2008-10-07,"0.066028464","0.294032284","3.96121575","3.250718215",-0.375,-0.441028464,0.0704410720370381,0.016005221172331,9.85205479452055
"118","Investor Bezpiecznego Wzrostu","1","","1.5","mieszane",50,50,3.42100000895834,"0",0,"10",1,0,0,10,1,"1.01","mieszane",50,50,5.34758360785095,"Investor","zagraniczne","0.000201464","0.007896752","-0.015203483","3.816074299","-0.000570945","-0.151123038","0.000130809","0.000222505","-0.01684748","1.56697575","-0.00029775","-0.184071641",2015-03-16,"0.032571347","0.050365997","1.982084854","0.055626242",5.86601307189542,5.83344172489542,0.0178428269247044,0.333859457915564,3.41095890410959
"119","Investor BRIC","4","3.93","4.58","akcji",50,50,2.81540871942271,"5",0,"0",4,5,0,0,4.06,"4.74","akcji ",50,50,2.76000994003292,"Investor","zagraniczne","0.000658175","0.01073918","-0.020875324","5.239706238","-0.0001076","-0.099779652","0.000633308","0.007532016","-0.021385724","3.494334563","0.000768033","0.138375108",2008-01-28,"0.157693642","0.164543682","2.69553427","1.88300411",-0.0538922155688622,-0.211585857568862,0.055478308572942,0.0763108488382428,10.5452054794521
"120","Investor Gold Otwarty","4","3.97","4.43","inne",50,50,5.91808707730321,"5",0,"0",4,5,0,0,4.05,"4.35","rynku surowców",50,50,5.58462349281989,"Investor","zagraniczne","0.000450522","0.010840298","-0.01757776","4.412017681","-0.000324888","-0.07568498","3.31275E-05","0.005519534","-0.018345828","3.426243481","0.001152848","0.340011478",2008-10-07,"0.008248756","0.112630397","2.720914713","1.379883553",-0.283562012375572,-0.291810768375572,0.0358814616766711,-0.00416791981286844,9.85205479452055
"121","Investor Gotówkowy","0.8","0.82","0.82","pieniê¿ne",50,50,3.04927304048202,"0",0,"0",0.8,0,0,0,0.99,"0.99","gotówkowe i pieniê¿ne ",50,50,3.92395157629342,"Investor","polskie","3.20866E-05","0.000370303","-0.000686949","0.172424147","2.9131E-05","0.009438386","0.00011022","0.000320544","-0.000778458","0.131419754","3.36699E-05","0.007643914",2008-01-28,"0.027444676","0.00802164","0.092946063","0.08013599",1.39810426540284,1.37065958940284,-0.0750796728205691,0.167773256435716,10.5452054794521
"122","Investor Indie i Chiny","4","3.99","4.47","akcji",50,50,3.64805745959368,"5",0,"0",4,5,0,0,4.13,"4.59","akcji ",50,50,3.48737507790321,"Investor","zagraniczne","0.000151139","0.010539324","-0.022009037","5.524268365","-2.5961E-05","0.064334271","0.000489262","0.007224916","-0.022700514","3.131799454","-0.000529329","-0.04789887",2008-10-07,"0.121826193","0.037784665","2.645370308","1.80622908",-0.1484375,-0.270263693,0.00861303422477214,0.0596968536239047,9.85205479452055
"123","Investor Niemcy","4","4.04","4.68","akcji",50,50,3.22286784613774,"5",0,"0",4,5,0,0,4.19,"4.88","akcji ",50,50,3.49650756146648,"Investor","zagraniczne","0.000427046","0.012155297","-0.022082184","5.542628247","-0.000813076","-0.171873955","0.000586677","0.006994756","-0.025011608","3.494267751","-0.000101711","0.025256751",2008-10-07,"0.14608255","0.106761612","3.050979559","1.748689119",0.314741035856574,0.168658485856574,0.030076114974063,0.0755323222206199,9.85205479452055
"124","Investor Nowych Technologii","4","4.04","4.05","akcji",50,50,4.34120464015363,"5",0,"0",4,5,0,0,4.13,"4.15","akcji ",50,50,5.44846002497776,"Investor","zagraniczne","0.000797541","0.008350538","-0.016168753","4.058357043","0.000502419","0.136224781","0.000927998","0.006551445","-0.017990719","2.639972071","0.000712369","0.179295869",2008-01-28,"0.231071473","0.199385285","2.095985099","1.637861157",2.02604166666667,1.79497019366667,0.087970704127606,0.132533500823477,10.5452054794521
"125","Investor Obligacji","1.1","1.09","1.11","d³u¿ne",50,50,4.46129981556839,"1",0,"0",1.1,0.5,0,0,1.09,"1.19","d³u¿ne ",50,50,5.54868690411584,"Investor","polskie","6.84944E-05","0.001239144","-0.00206845","0.519180893","3.22755E-05","0.020002126","0.000180442","0.00081695","-0.001918349","0.458087169","8.74903E-05","0.01695602",1998-01-05,"0.044929951","0.017123596","0.311025041","0.204237523",1.96651270207852,1.92158275107852,0.00682773320492867,0.151441079707963,20.613698630137
"126","Investor Obligacji Korporacyjnych","1.5","2.75","3.15","d³u¿ne",50,50,0.405465108108164,"1",0,"25",1.5,0.5,0,25,2.74,"2.36","d³u¿ne ",50,50,0.182321556793955,"Investor","zagraniczne","6.68249E-05","0.000568919","-0.001111528","0.278993461","-4.20208E-05","-0.007409318","5.14583E-05","0.00039927","-0.001073554","0.198185704","6.58189E-05","0.014378186",2015-03-16,"0.012813107","0.016706236","0.14279874","0.099817603",-0.2,-0.212813107,0.0119485368008149,-0.0118906181307519,3.41095890410959
"127","Investor Obligacji Rynków Wschodz¹cych Plus","1.5","2.9","3.15","d³u¿ne",50,50,0.0953101798043249,"1",0,"25",1.5,0.5,0,25,3.04,"2.48","d³u¿ne ",50,50,0,"Investor","zagraniczne","3.2452E-05","0.002131512","-0.003291899","0.826266543","-0.000176131","-0.028342189","5.67002E-05","0.001256271","-0.003017416","0.79619712","0.000113407","0.031114168",2015-03-16,"0.01411836","0.00811301","0.535009636","0.314067791",-0.090909090909091,-0.105027450909091,-0.012872646652667,0.00037686131272213,3.41095890410959
"128","Investor P³ynna Lokata","0.8","0.78","0.81","pieniê¿ne",50,50,NA,"0",0,"0",0.8,0,0,0,0.87,"0.87","gotówkowe i pieniê¿ne ",50,50,8.08193875449732,"Investor","polskie","0.000106004","0.000283997","-0.000586087","0.147107748","6.32123E-05","0.014176156","0.000126149","0.00019223","-0.000604006","0.0929657","0.000107156","0.026169247",1999-11-10,"0.031411056","0.026501088","0.071283215","0.048057504",NA,NA,0.161343564540404,0.362296302363102,18.7671232876712
"129","Investor Rosja","4","4.02","4.52","akcji",50,50,3.38439026334577,"5",0,"0",4,5,0,0,4.16,"4.65","akcji ",50,50,3.19458313229916,"Investor","zagraniczne","0.001731667","0.016443495","-0.029264743","7.345450526","-6.45559E-05","-0.030190484","-0.000750801","0.010088176","-0.033264856","5.061471131","0.000778109","0.361217352",2008-10-07,"-0.186949564","0.432916683","4.127317317","2.522044053",-0.172881355932203,0.0140682080677966,0.101256252161336,-0.0796772616881804,9.85205479452055
"130","Investor Sektora Nieruchomoœci i Budownictwa","4","4.02","4.62","akcji",50,50,1.96009478404727,"5",0,"0",4,5,0,0,4.31,"4.87","akcji ",50,50,1.6094379124341,"Investor","zagraniczne","0.000220372","0.007567387","-0.01452878","3.646723699","9.33183E-05","0.039471034","-0.000182883","0.005818325","-0.014152856","2.737946939","-5.66432E-05","0.026931245",2008-01-28,"-0.045537987","0.055092938","1.899414258","1.454581133",-0.295774647887324,-0.250236660887324,0.0211080536176537,-0.0409313620596782,10.5452054794521
"131","Investor Top 25 Ma³ych Spó³ek","4","3.77","4.01","akcji",50,50,5.3687758301966,"5",0,"0",4,5,0,0,3.81,"4.08","akcji ",50,50,5.04985600724954,"Investor","polskie","0.000514746","0.005910327","-0.01098253","2.756615121","0.000150229","0.003117205","0.000587288","0.005455235","-0.010931452","2.346998319","0.000600732","0.148089659",2002-11-26,"0.146234788","0.128686605","1.483491989","1.363808859",-0.273066169617894,-0.419300957617894,0.0766344583206239,0.0969599127673653,15.7205479452055
"132","Investor Top 50 Ma³ych i Œrednich Spó³ek","4","4.34","4.05","akcji",50,50,4.04480411666196,"5",0,"25",4,5,0,25,7.15,"4.13","akcji ",50,50,4.07753744390572,"Investor","zagraniczne","0.000323092","0.007023915","-0.014070765","3.531762105","-0.00024928","-0.101664522","0.000485564","0.004917421","-0.013125765","2.342553338","0.000426842","0.098662506",2006-12-29,"0.120905455","0.080773054","1.763002734","1.229355135",0.0332749562171628,-0.0876304987828372,0.0373074032907314,0.086960595808631,11.627397260274
"133","Investor Turcja","4","3.98","4.26","akcji",50,50,4.39197696552705,"5",0,"0",4,5,0,0,4.12,"4.32","akcji ",50,50,3.79773385902602,"Investor","zagraniczne","-0.000127167","0.014506494","-0.026257085","6.590528272","-0.001424775","-0.307011085","0.000474409","0.011469364","-0.022578545","5.32103997","0.000326208","0.018550176",2008-10-07,"0.118127791","-0.031791872","3.641130057","2.867340962",-0.448019801980198,-0.566147592980198,-0.0128509202548378,0.0363151060093564,9.85205479452055
"134","Investor Zabezpieczenia Emerytalnego","3","2.91","3.01","mieszane",50,50,6.35922778803213,"3",0,"0",3,2.5,0,0,3.09,"3.09","mieszane",50,50,7.19563733143658,"Investor","zagraniczne","0.000408995","0.003930011","-0.007093626","1.780500111","7.61666E-05","0.021538848","0.000402938","0.002351527","-0.007811347","1.152073366","0.000471851","0.061206725",1999-11-10,"0.100331605","0.102248743","0.986432712","0.587881693",1.30806507442021,1.20773346942021,0.0884487527011371,0.146852004455937,18.7671232876712
"135","Investor Zrównowa¿ony","3.5","2.27","3.51","mieszane",50,50,6.39040843822588,"4",0,"0",3.5,4,0,0,2.84,"3.56","mieszane",50,50,6.90062995403955,"Investor","zagraniczne","0.000578086","0.00590031","-0.011170394","2.803769019","0.000234655","0.064440824","0.00066746","0.004221806","-0.012166911","1.829223822","0.000536916","0.111067774",1998-01-05,"0.166197633","0.144521517","1.480977886","1.055451452",0.665660124140245,0.499462491140245,0.0874567528822641,0.14420145304798,20.613698630137
"136","IPOPEMA m-Indeks FIO","2","2.09","1.99","akcji",20000,5000,0.53062825106217,"4",0,"0",2,4,0,0,3.15,"2.77","akcji ",20000,100,2.98061863574394,"Ipopema","polskie","0.000789209","0.009358104","-0.016242194","4.076790577","3.53766E-05","-0.038022484","0.000545753","0.006353209","-0.017660025","3.14189987","4.99631E-05","0.158801463",2010-06-01,"0.13589244","0.197302169","2.348883996","1.588302341",10.5882352941176,10.4523428541176,0.0776122487574733,0.076743852132873,8.2027397260274
"137","KBC DELTA","0.99","2.9","2.42","d³u¿ne",160000,1000,0.916290731874155,"#ARG!",0,"0",0.99,0.8,0,0,3.77,"4.12","d³u¿ne ",160000,1000,0.336472236621213,"GAMMA","polskie","-1.41119E-05","0.001627119","-0.002552527","0.638131773","7.0829E-05","0.027863367","5.51582E-05","0.000978576","-0.00282452","0.58964063","7.73479E-06","-0.001014108",2011-07-29,"0.013734383","-0.003513868","0.40677969","0.244644113",-0.44,-0.453734383,-0.0455132555905139,-0.00108572814911758,7.04383561643836
"138","KBC GAMMA","0.79","1.03","0.99","pieniê¿ne",160000,1000,6.97914527506881,"0",0,"0",0.79,0.8,0,0,1,"0","gotówkowe i pieniê¿ne ",160000,1000,7.24985451146848,"GAMMA","polskie","0.000114738","0.000652496","-0.000905131","0.226282769","5.59204E-05","0.018176006","0.000169876","0.000474799","-0.001076233","0.243208311","0.000122464","0.028907052",2001-03-29,"0.042299217","0.028569802","0.163123968","0.118699787",0.310893854748603,0.268594637748603,0.0831870519481233,0.238410006582404,17.3835616438356
"139","KBC PORTFEL AKCJI ŒREDNICH SPÓ£EK SFIO","4","5.17","5.41","akcji",100000,5000,1.62924053973028,"4",0,"0",4,4,0,0,5.2,"5.84","akcji ",500,100,1.16315080980568,"GAMMA","polskie","0.000658111","0.008196185","-0.014755179","3.688794665","0.000228283","0.099796457","0.000402933","0.00605869","-0.014146675","2.983759782","0.000207397","0.150196512",2007-11-19,"0.100330261","0.163869532","2.049046241","1.514672435",-0.372549019607843,-0.472879280607843,0.0726530856264849,0.0569959939886276,10.7369863013699
"140","KBC PORTFEL AKCYJNY SFIO","4","4.62","4.6","akcji",100000,5000,2.85647020622048,"4",0,"0",4,4,0,0,4.72,"4.72","akcji ",500,100,2.27212588550934,"GAMMA","polskie","0.000196373","0.008819256","-0.015585433","3.896358168","-0.000648624","-0.112148015","0.000583839","0.007237467","-0.015447305","3.324371177","2.94422E-05","0.035081428",2006-04-03,"0.145376016","0.048896808","2.204813953","1.809366659",-0.442528735632184,-0.587904751632184,0.0153739992228723,0.0726088409701375,12.3671232876712
"141","KBC PORTFEL OBLIGACYJNY SFIO","1.35","1.78","1.82","d³u¿ne",100000,5000,2.88480071284671,"4",0,"0",1.35,4,0,0,2.04,"2.04","d³u¿ne ",500,100,2.01490302054226,"GAMMA","polskie","4.7247E-05","0.001014951","-0.002675154","0.668788462","0.000151843","0.04721843","0.000165931","0.001165031","-0.001779692","0.474862151","1.80211E-05","0.010348877",2006-04-03,"0.041316747","0.011764494","0.253737671","0.291257662",-0.581005586592179,-0.622322333592179,-0.012751382115429,0.0937889386751996,12.3671232876712
"142","KBC PORTFEL PIENIÊ¯NY SFIO","0.9","1.36","1.45","pieniê¿ne",100000,5000,2.85070650150373,"4",0,"0",0.9,4,0,0,1.63,"1.63","gotówkowe i pieniê¿ne ",500,100,2.09186406167839,"GAMMA","polskie","0.000110429","0.000632049","-0.000996947","0.249236823","8.56021E-05","0.021399834","0.00017878","0.000847601","-0.001119229","0.288442589","0.000125928","0.026416316",2006-04-03,"0.0445163","0.0274968","0.158012222","0.211900359",-0.531791907514451,-0.576308207514451,0.0790875531134547,0.14401249787406,12.3671232876712
"143","KBC Subfundusz Akcji Ma³ych i Œrednich Spó³ek","4","4.47","4.41","akcji",500,100,3.86283276123737,"4",0,"0",4,NA,NA,0,4.61,"4.61","akcji ",500,100,3.35689712276558,"GAMMA","polskie","0.000400778","0.006850702","-0.012837874","3.209468467","0.00021323","0.114242005","0.000277111","0.005176062","-0.012033173","2.470452469","0.000162407","0.052988372",2007-09-27,"0.06900054","0.099793719","1.712675579","1.294015485",-0.397058823529412,-0.466059363529412,0.0495095043332781,0.0425037726654407,10.8821917808219
