"","Nazwa_IZFiA","OZZ17","TER17","OB17","Profil17","PW17","NW17","Aktywa17","OZN17","OZU17","OZW17","OZZ18","OZN18","OZU18","OZW18","TER18","OB18","Profil18","PW18","NW18","Aktywa18","TFI","Lokalizacja","mean_daily_log_rr_16","std_daily_log_rr_16","var16_5","var16_95","es16","eg16","mean_daily_log_rr_17","std_daily_log_rr_17","var17_5","var17_95","es17","eg17","Data_utworzenia","yearly_rr_17","yearly_rr_16","yearly_std_16","yearly_std_17","zm.akt.17.18.proc","zm.akt.17.18.flow.proc","sr16","sr17","Wiek"
"26","Arka BZ WBK Akcji Polskich Subfundusz","4","3.78","4.03","akcji",1000,500,7.05608907348783,"3",1,"0",4,0,NA,0,3.7,"4.02","akcji ",1000,100,6.76676758568116,"Arka BZ WBK","polskie","0.000406428","0.008656238","-0.015160585","3.805306881","-0.000582312","-0.116304408","0.000637691","0.006621199","-0.016470932","3.053908927","-0.000169883","0.079109638",1998-04-02,"0.158784973","0.101606886","2.172715746","1.655299726",-0.251228554185706,-0.410013527185706,0.0398611213452309,0.0874675267118361,20.3753424657534
"27","Arka BZ WBK Akcji Œrodkowej i Wschodniej Europy Subfundusz","4","4.39","4.25","akcji",1000,500,5.20070453768104,"3",1,"0",4,0,NA,0,4.01,"4.15","akcji ",1000,100,4.99179220629478,"Arka BZ WBK","zagraniczne","0.000332768","0.009858535","-0.017780798","4.462980404","-0.000735591","-0.139473194","0.000591708","0.005574565","-0.018295315","3.029997276","0.000289823","0.060288997",2006-12-27,"0.14733522","0.083191912","2.474492227","1.393641374",-0.188533627342889,-0.335868847342889,0.0275579414863121,0.0956739821933558,11.6328767123288
"28","Arka BZ WBK Akcji Tureckich Subfundusz","4","4.57","4.27","akcji",1000,500,4.969813299576,"3",1,"0",4,0,NA,0,4.22,"4.23","akcji ",1000,100,4.48751214251986,"Arka BZ WBK","zagraniczne","0.00017151","0.015104361","-0.028634614","7.187288025","-0.001349899","-0.336046652","0.00044336","0.011796216","-0.023703006","5.493808809","0.000744024","0.056169339",2007-10-29,"0.110396673","0.04287754","3.791194578","2.949054099",-0.382638888888889,-0.493035561888889,0.00735323377010801,0.0326873193111945,10.7945205479452
"29","Arka BZ WBK Gotówkowy Subfundusz","1","0.93","1.01","pieniê¿ne",1000,500,7.45350393253736,"3",1,"0",1,0,NA,0,0.93,"1","gotówkowe i pieniê¿ne ",1000,100,7.73748544132862,"Arka BZ WBK","polskie","4.51518E-05","0.000359192","-0.000614683","0.154285404","4.74153E-05","0.013143397","9.85338E-05","0.000227219","-0.000647686","0.114497797","5.16351E-05","0.011378215",1998-04-02,"0.024534923","0.01128796","0.090157217","0.056804803",0.328408366649284,0.303873443649284,-0.0411729656650781,0.18545831414995,20.3753424657534
"30","Arka BZ WBK Obligacji Europejskich Subfundusz","1.6","1.54","1.65","d³u¿ne",1000,500,4.60816569496789,"3",1,"0",1.6,0,NA,0,1.54,"1.64","d³u¿ne ",1000,100,4.2570301444992,"Arka BZ WBK","zagraniczne","0.000133271","0.004041066","-0.006537421","1.640892552","-9.8345E-05","0.015290533","-0.000118779","0.002400631","-0.007667889","1.288809194","0.000401309","0.062492496",2003-08-18,"-0.029575873","0.033317838","1.014307581","0.600157794",-0.296111665004985,-0.266535792004985,0.0180594509428201,-0.0726073599903961,14.9945205479452
"31","Arka BZ WBK Obligacji Korporacyjnych Subfundusz","1.9","1.7","1.82","d³u¿ne",1000,500,7.82480572220253,"3",1,"0",1.9,0,NA,0,1.78,"1.9","d³u¿ne ",1000,100,8.01261468041071,"Arka BZ WBK","polskie","0.000122034","0.000769834","-0.00104996","0.263539915","3.60611E-05","0.007368275","0.000163306","0.000326699","-0.001182316","0.250825038","0.000108003","0.028795176",2012-02-10,"0.040663252","0.030508568","0.19322827","0.081674859",0.206602981733882,0.165939729733882,0.0802603469978798,0.326456051794347,6.50684931506849
"32","Arka BZ WBK Obligacji Skarbowych Subfundusz","1.7","1.65","1.71","d³u¿ne",1000,500,6.87533538772603,"3",1,"0",1.7,0,NA,0,1.66,"1.71","d³u¿ne ",1000,100,6.8274125262996,"Arka BZ WBK","polskie","-4.0453E-05","0.001863525","-0.00278195","0.698269397","-3.68321E-05","0.009120515","0.000182926","0.001335566","-0.002505942","0.75033172","-3.27883E-05","-0.008021718",2002-08-20,"0.04554867","-0.010113257","0.467744806","0.333891547",-0.0467926867059189,-0.0923413567059189,-0.0536900820230594,0.0944877768948131,15.9890410958904
"33","Arka BZ WBK Stabilnego Wzrostu Subfundusz","2.9","2.6","2.93","mieszane",1000,500,6.74051935960622,"3",1,"0",2.9,0,NA,0,2.54,"2.91","mieszane",1000,100,6.86160662295616,"Arka BZ WBK","zagraniczne","9.59343E-05","0.003641621","-0.006179268","1.550996279","-0.000221231","-0.045493467","0.000354362","0.002235462","-0.006660066","1.215864619","-6.24491E-05","0.015398534",1999-11-25,"0.088236117","0.023983585","0.914046879","0.558865565",0.128723404255319,0.0404872872553191,0.00982836351875996,0.13283358583741,18.7260273972603
"34","Arka BZ WBK Zrównowa¿ony Subfundusz","3.4","3.17","3.43","mieszane",1000,500,6.93760530095102,"3",1,"0",3.4,0,NA,0,3.13,"3.42","mieszane",1000,100,6.80383816556236,"Arka BZ WBK","zagraniczne","0.000204881","0.005469495","-0.009516375","2.388610196","-0.00033306","-0.086475523","0.00044383","0.003847033","-0.010395001","1.857239254","-9.73674E-05","0.03167859",1998-04-02,"0.110513651","0.051220299","1.372843316","0.961758171",-0.125206250606619,-0.235719901606619,0.0263834179602765,0.100351266992251,20.3753424657534
"35","Arka Platinum Dynamiczny","2.8","2.76","3.41","mieszane",1000,500,4.254193263164,"3",1,"0",2.8,0,NA,0,2.77,"3.34","mieszane",1000,100,3.88567903008854,"Arka BZ WBK","zagraniczne","0.000181781","0.004719652","-0.009349643","2.346760337","-0.000108168","-0.036552025","6.04811E-05","0.002938903","-0.010002665","1.394981714","-3.09039E-05","0.006002828",2007-12-27,"0.015059794","0.045445249","1.184632582","0.734725663",-0.308238636363636,-0.323298430363636,0.0257001617738723,0.00144243498406289,10.6328767123288
"36","Arka Platinum Konserwatywny","1.8","1.48","1.82","mieszane",1000,500,5.399519247057,"3",1,"0",1.8,0,NA,0,1.71,"1.82","mieszane",1000,100,5.1851486684424,"Arka BZ WBK","zagraniczne","1.48711E-05","0.001423779","-0.002761394","0.693109834","-3.88761E-05","0.003423136","0.000125352","0.000975394","-0.002552407","0.515906098","3.31305E-06","0.004612176",2012-02-10,"0.031212725","0.003717777","0.357368627","0.243848417",-0.192950745594216,-0.224163470594216,-0.0315702670788726,0.070587807014552,6.50684931506849
"37","Arka Platinum Stabilny","2.3","2.08","2.35","mieszane",1000,500,4.69774936728118,"3",1,"0",2.3,0,NA,0,2.24,"2.34","mieszane",1000,100,4.40915530206213,"Arka BZ WBK","zagraniczne","6.32424E-05","0.002406964","-0.004887575","1.226781331","-4.42308E-05","-0.023289895","9.91191E-05","0.001501384","-0.005136055","0.703540283","-0.000179303","2.25631E-05",2006-05-30,"0.024680662","0.015810606","0.604147902","0.375346055",-0.250683682771194,-0.275364344771194,0.00134173436225887,0.0284555062127934,12.2109589041096
"38","Arka Presti¿ Akcji Europejskich","2.5","3.26","3.28","akcji",10000,1000,4.99923724914389,"2",1,"0",2.5,0,NA,0,2.69,"3.33","akcji ",10000,1000,4.772378104972,"Arka Presti¿","zagraniczne","0.000783461","0.009466486",NA,NA,NA,NA,"0.000255882","0.005221266","-0.016809074","2.767565078","0.001078845","0.202495872",2016-02-19,"0.063714668","0.170011104","2.063693934","1.305316586",-0.202966958867161,-0.266681626867161,0.0751134174724962,0.0380862915044581,2.47945205479452
"39","Arka Presti¿ Akcji Polskich Subfundusz","3","3.04","3.02","akcji",10000,1000,6.01761950458483,"2",1,"0",3,0,NA,0,3,"3","akcji ",10000,1000,5.75193751654325,"Arka Presti¿","polskie","0.000460599","0.007806319","-0.013802","3.464301984","1.79E-05","0.050209039","0.000651376","0.006334034","-0.014875484","2.826921261","0.000405075","0.083200997",2010-11-16,"0.162192547","0.115149637","1.959386052","1.583508552",-0.23331709693132,-0.39550964393132,0.0511127640710591,0.0935849363193082,7.74246575342466
"40","Arka Presti¿ Akcji Œrodkowej i Wschodniej Europy Subfundusz","3","4.45","3.39","akcji",10000,1000,3.69137633431252,"2",1,"0",3,0,NA,0,3.54,"3.27","akcji ",10000,1000,3.5918177412708,"Arka Presti¿","zagraniczne","0.000509941","0.01035827","-0.019009886","4.771481426","-0.000345204","-0.092466452","0.000700505","0.006227172","-0.01904268","3.225349553","0.000438648","0.112162278",2010-11-16,"0.174425683","0.127485206","2.599925847","1.556793039",-0.0947630922693268,-0.269188775269327,0.0432647746972454,0.10304881829575,7.74246575342466
