"","Nazwa","Nazwa_IZFiA","OB","TFI","Data_utworzenia","PW","NW","Aktywa","Profil","OZZ","OZN","OZU","OZW","TER","mean_daily_log_rr","std_daily_log_rr","var_5","var_95","es","eg","yearly_rr","yearly_std","Lokalizacja","Rok","sr","Wiek","Name_time"
"333","Allianz India Equity","Subfundusz Allianz India Equity",2.78,"Allianz","2016-06-20",500,100,"9.3","akcji",2.5,"4",0,"0","2.77","0.000980874","0.005917497","-0.006207238","2.665297504","-0.000431267","-0.150137128","0.245218492","1.485291659","zagraniczne","2018",0.155672113688211,2.14714611872146,"Allianz India Equity2018"
"334","Allianz Ma³ych Spó³ek Europejskich","Subfundusz Allianz Ma³ych Spó³ek Europejskich",2.84,"Allianz","2016-01-18",500,100,"12.2","akcji",2.5,"4",0,"0","2.84","0.000506605","0.005970847","-0.014443515","2.613382561","0.000465289","0.15513605","0.126651238","1.498682507","zagraniczne","2018",0.0751668465294231,2.5689497716895,"Allianz Ma³ych Spó³ek Europejskich2018"
"335","Allianz PIMCO Emerging Local Bond","Allianz SFIO PIMCO Emerging Local Bond",1.72,"Allianz","2016-07-08",500,100,"48.2","d³u¿ne",1.55,"2.5",0,"0","1.73","0.000421184","0.004381279","-0.008334938","2.147350003","-0.000800751","-0.148267841","0.105295956","1.099701117","zagraniczne","2018",0.0830188808474221,2.09783105022831,"Allianz PIMCO Emerging Local Bond2018"
"336","Allianz PIMCO Emerging Markets Bond","Allianz SFIO PIMCO Emerging Markets Bond",1.7,"Allianz","2016-07-08",500,100,"75.1","d³u¿ne",1.55,"2.5",0,"0","1.7","0.000301522","0.001766467","-0.005077354","1.092809502","-3.18717E-05","0.007412621","0.075380476","0.443383249","zagraniczne","2018",0.13843661468591,2.09783105022831,"Allianz PIMCO Emerging Markets Bond2018"
"337","Allianz PIMCO Global Bond","Allianz SFIO PIMCO Global Bond",1.7,"Allianz","2016-07-08",500,100,"9.9","d³u¿ne",1.05,"2.5",0,"0","1.7","0.000105942","0.001114809","-0.001833625","0.515826709","-0.000131918","-0.040223238","0.026485612","0.27981717","zagraniczne","2018",0.044620607091409,2.09783105022831,"Allianz PIMCO Global Bond2018"
"338","Allianz PIMCO Global High Yield Bond","Allianz SFIO PIMCO Global High Yield Bond",1.7,"Allianz","2016-07-08",500,100,"66.5","d³u¿ne",1.55,"2.5",0,"0","1.41","0.000198708","0.001261045","-0.00371554","0.703558153","0.00037502","0.079635014","0.049677082","0.316522329","zagraniczne","2018",0.112715845712105,2.09783105022831,"Allianz PIMCO Global High Yield Bond2018"
"339","Allianz PIMCO Global Investment Grade Credit","Allianz SFIO PIMCO Global Investment Grade Credit",1.72,"Allianz","2016-07-08",500,100,"8.5","d³u¿ne",1.05,"2.5",0,"0","1.71","0.000179327","0.001482893","-0.002427903","0.673551949","-0.000118217","-0.031119131","0.044831838","0.372206178","zagraniczne","2018",0.0828353741081643,2.09783105022831,"Allianz PIMCO Global Investment Grade Credit2018"
"340","Allianz PIMCO Global Low Duration Real Return","Subfundusz PIMCO Global Low Duration Real Return",1.7,"Allianz","2016-06-20",500,100,"4.8","d³u¿ne",1.05,"2.5",0,"0","1.69","-8.73103E-06","0.000786232","-0.000752434","0.339141732","7.1758E-05","0.018647471","-0.002182757","0.197344227","zagraniczne","2018",-0.0820026876185235,2.14714611872146,"Allianz PIMCO Global Low Duration Real Return2018"
"341","Allianz PIMCO Income","Allianz SFIO PIMCO Income",1.72,"Allianz","2016-07-08",500,100,"320.8","d³u¿ne",1.55,"2.5",0,"0","1.72","0.000196654","0.000783309","-0.001247234","0.353339562","0.000124444","0.040605567","0.049163577","0.196610584","zagraniczne","2018",0.178848850782113,2.09783105022831,"Allianz PIMCO Income2018"
"342","Allianz US Short Duration High Income Bond","Subfundusz US Short Duration High Income Bond",1.65,"Allianz","2016-06-20",500,100,"68.6","d³u¿ne",1.5,"2.5",0,"0","1.41","9.21376E-05","0.000658683","-0.000703683","0.295100726","0.000134607","0.019479011","0.023034397","0.165329443","zagraniczne","2018",0.0546448160476776,2.14714611872146,"Allianz US Short Duration High Income Bond2018"
"343","Allianz Zbalansowana Multistrategia","Subfundusz Allianz Zbalansowana Multistrategia",2.18,"Allianz","2016-01-18",500,100,"4.6","mieszane",2,"3.5",0,"0","2.18","0.00023923","0.003701879","-0.003257686","1.5561767","0.000281262","0.069497666","0.059807601","0.929171646","zagraniczne","2018",0.049299396077353,2.5689497716895,"Allianz Zbalansowana Multistrategia2018"
"344","Amundi Globalnych Perspektyw Dynamiczny","",3.56,"Amundi","2014-11-18",500,100,"48.4","mieszane",3,"5",0,"20",NA,"0.000211377","0.005042699","-0.014654654","2.556315552","0.00027971","0.102776857","0.052632958","1.2606747","zagraniczne","2018",0.0306446682875448,3.73607305936073,"Amundi Globalnych Perspektyw Dynamiczny2018"
"345","Amundi Globalnych Perspektyw Umiarkowany","",2.32,"Amundi","2016-01-12",500,100,"164.8","mieszane",2,"5",0,"20","2.37","0.000169058","0.000962147","-0.01886867","0.71801866","0.000712054","0.125270024","0.042095368","0.240536821","zagraniczne","2018",0.116802774241371,2.58538812785388,"Amundi Globalnych Perspektyw Umiarkowany2018"
