"","Nazwa","Nazwa_IZFiA","OB","TFI","Data_utworzenia","PW","NW","Aktywa","Profil","OZZ","OZN","OZU","OZW","TER","mean_daily_log_rr","std_daily_log_rr","var_5","var_95","es","eg","yearly_rr","yearly_std","Lokalizacja","Rok","sr","Wiek","Name_time"
"307","Alior Papierów D³u¿nych","Alior Papierów D³u¿nych",3.21,"Alior","2013-04-11",200,100,"9","d³u¿ne",1.2,"0.5",0,"20","3.21","0.000130287","0.001185127","-0.001843839","0.547907015","-2.05131E-05","-0.003682816","0.032311209","0.295096604","polskie","2018",0.0620515748124299,5.34166666666667,"Alior Papierów D³u¿nych2018"
"308","Alior Pieniê¿ny","Alior Pieniê¿ny",1,"Alior","2016-02-24",200,100,"58.9","pieniê¿ne",0.6,"0.3",0,"20","1.43","0.000138298","0.000478345","-0.000660342","0.203424353","0.000128538","0.029761624","0.034297834","0.119108","polskie","2018",0.170415370923867,2.4675799086758,"Alior Pieniê¿ny2018"
"309","Alior Stabilnych Spó³ek","Alior Stabilnych Spó³ek",6.37,"Alior","2009-03-24",200,100,"4.9","akcji",3,"3",0,"0","6.37","0.000281189","0.006066447","-0.016722706","2.88208725","0.000178754","0.064594419","0.069734843","1.510545357","polskie","2018",0.0368971661405067,9.39372146118721,"Alior Stabilnych Spó³ek2018"
"310","Alior Fundusz funduszy Strategia Aktywna","",2.97,"Alior","2017-06-22",200,100,"3.5","mieszane",2.5,"3",0,"0","0","0.000144328","0.000827333",NA,NA,NA,NA,"0.010247316","0.059567945","zagraniczne","2018",-0.0629983794136259,1.14166666666667,"Alior Fundusz funduszy Strategia Aktywna2018"
"311","Alior Fundusz funduszy Strategia Dynamiczna","",3.47,"Alior","2017-06-22",200,100,"2.8","akcji",3,"3",0,"0","0","0.000186089","0.001020324",NA,NA,NA,NA,"0.013212331","0.073463345","zagraniczne","2018",-0.0107219321418049,1.14166666666667,"Alior Fundusz funduszy Strategia Dynamiczna2018"
"312","Alior Fundusz funduszy Strategia Ostro¿na","",2.06,"Alior","2017-06-22",200,100,"21.9","mieszane",1.5,"2",0,"0","0.01","0.000120609","0.000432894",NA,NA,NA,NA,"0.008563231","0.031168363","zagraniczne","2018",-0.174432292129041,1.14166666666667,"Alior Fundusz funduszy Strategia Ostro¿na2018"
"313","Alior Fundusz funduszy Strategia Rozwa¿na","",2.43,"Alior","2017-06-22",200,100,"16.5","mieszane",2,"2",0,"0","0.01","0.000158262","0.000722695",NA,NA,NA,NA,"0.011236632","0.052034058","zagraniczne","2018",-0.0531069093246581,1.14166666666667,"Alior Fundusz funduszy Strategia Rozwa¿na2018"
"314","Allianz Akcji","subfundusz Allianz Akcji",4.12,"Allianz","2004-01-28",200,50,"251.9","akcji",4,"4",0,"0","4.08","0.000414367","0.006522208","-0.01730181","3.0296744","0.000271922","0.056234828","0.102763112","1.624029807","polskie","2018",0.0546560855086572,14.5497716894977,"Allianz Akcji2018"
"315","Allianz Akcji Globalnych","Subfundusz Allianz Akcji Globalnych",3.35,"Allianz","2014-01-09",200,50,"22.2","akcji",3,"4",0,"0","3.35","0.000498868","0.00481005","-0.016902287","2.471705129","0.000150152","-0.030495924","0.123719349","1.197702471","zagraniczne","2018",0.0916081845505352,4.59360730593607,"Allianz Akcji Globalnych2018"
"316","Allianz Akcji Ma³ych i Œrednich Spó³ek","subfundusz Allianz Akcji Ma³ych i Œrednich Spó³ek",4.15,"Allianz","2007-11-21",200,50,"164.5","akcji",4,"4",0,"0","4.13","0.000322348","0.005775292","-0.013843494","2.579703435","0.000141871","0.077615795","0.079942304","1.438047751","polskie","2018",0.0458554341843966,10.7333333333333,"Allianz Akcji Ma³ych i Œrednich Spó³ek2018"
"317","Allianz Aktywnej Alokacji","subfundusz Allianz Aktywnej Alokacji",3.89,"Allianz","2005-12-16",200,50,"135.2","mieszane",3.75,"3",0,"0","3.88","3.43567E-05","0.002941762","-0.007144393","1.282155788","1.34319E-05","0.001138425","0.008520467","0.732498688","zagraniczne","2018",-0.00748060452498722,12.6648401826484,"Allianz Aktywnej Alokacji2018"
"318","Allianz Globalny Stabilnego Dochodu","Subfundusz Allianz Globalny Stabilnego Dochodu",2.25,"Allianz","2015-10-15",200,50,"58.5","mieszane",2,"3",0,"0","2.25","0.000192126","0.001182166","-0.002391258","0.637762157","0.000310653","0.096169156","0.047647357","0.294359361","zagraniczne","2018",0.1143070731153,2.82933789954338,"Allianz Globalny Stabilnego Dochodu2018"
"319","Allianz Obligacji Globalnych","Subfundusz Allianz Obligacji Globalnych",1.77,"Allianz","2014-01-09",200,50,"28.6","d³u¿ne",1.5,"2",0,"0","1.61","0.000142736","0.000587848","-0.002053739","0.394262345","0.000226537","0.053048064","0.035398629","0.146374229","zagraniczne","2018",0.146191232884308,4.59360730593607,"Allianz Obligacji Globalnych2018"
"320","Allianz Obligacji Plus","subfundusz Allianz Obligacji Plus",1.62,"Allianz","2004-01-28",200,50,"231.3","d³u¿ne",1.5,"2",0,"0","1.51","0.00010262","0.000279079","-0.001128623","0.149836382","0.000154025","0.034551786","0.025449713","0.069490567","polskie","2018",0.164766435133563,14.5497716894977,"Allianz Obligacji Plus2018"
"321","Allianz Pieniê¿ny","subfundusz Allianz Pieniê¿ny",1.11,"Allianz","2005-12-16",200,50,"344","pieniê¿ne",1,"0",0,"0","1.01","0.00010723","0.000224578","-0.000931306","0.133028834","0.000151438","0.022304298","0.026593131","0.055919933","polskie","2018",0.225199322037814,12.6648401826484,"Allianz Pieniê¿ny2018"
"322","Allianz Polskich Obligacji Skarbowych","subfundusz Allianz Polskich Obligacji Skarbowych",1.65,"Allianz","2005-12-16",200,50,"99.1","d³u¿ne",1.5,"1.5",0,"0","1.65","0.000138997","0.00075696","-0.002352179","0.462244098","0.000125055","0.010181191","0.034471376","0.188483071","polskie","2018",0.108611218457917,12.6648401826484,"Allianz Polskich Obligacji Skarbowych2018"
"323","Allianz Selektywny","subfundusz Allianz Selektywny",4.16,"Allianz","2007-11-21",200,50,"93.2","akcji",4,"4",0,"0","4.15","0.000401812","0.00655354","-0.015747656","2.918080942","0.000349818","0.071057172","0.099649478","1.631831546","polskie","2018",0.0524867154394379,10.7333333333333,"Allianz Selektywny2018"
"324","Allianz Stabilnego Wzrostu","subfundusz Allianz Stabilnego Wzrostu",3.62,"Allianz","2004-01-28",200,50,"228.5","mieszane",3.5,"3",0,"0","3.55","0.000188386","0.00223977","-0.006457834","1.099873148","0.000124173","0.014236433","0.046719612","0.557702678","zagraniczne","2018",0.0586685581595863,14.5497716894977,"Allianz Stabilnego Wzrostu2018"
"325","Allianz Surowców i Energii","Subfundusz Allianz Surowców i Energii",3.38,"Allianz","2014-01-09",200,50,"17.5","rynku surowców",3,"4",0,"0","3.27","-0.000146572","0.003973442","-0.020562411","2.159929844","-0.000426054","0.079136725","-0.036349969","0.989387084","zagraniczne","2018",-0.0508900609420125,4.59360730593607,"Allianz Surowców i Energii2018"
"326","Allianz Defensywna Multistrategia","Subfundusz Allianz Defensywna Multistrategia",1.65,"Allianz","2016-01-18",500,100,"2.6","mieszane",1.5,"2.5",0,"0","1.65","0.00012475","0.001750886","-0.001820152","0.840581712","9.10398E-05","0.044658388","0.03106285","0.437721617","zagraniczne","2018",0.038981054024572,2.5689497716895,"Allianz Defensywna Multistrategia2018"
"327","Allianz Dynamiczna Multistrategia","Subfundusz Allianz Dynamiczna Multistrategia",2.77,"Allianz","2016-01-18",500,100,"7","mieszane",2.5,"4",0,"0","2.77","0.000281555","0.005068416","-0.004724864","2.112430894","0.000520105","0.106004606","0.070107237","1.267104091","zagraniczne","2018",0.044279895707479,2.5689497716895,"Allianz Dynamiczna Multistrategia2018"
"328","Allianz Akcji Rynków Wschodz¹cych","",2.75,"Allianz","2013-05-14",500,100,"6.8","akcji",2.5,"4",0,"10","5.9","0.000965865","0.005468066","-0.017033068","2.663578668","-0.000399436","-0.029818546","0.240500316","1.367016463","zagraniczne","2018",0.165689530543715,5.25125570776256,"Allianz Akcji Rynków Wschodz¹cych2018"
"329","Allianz Dywidendowy Akcji Europejskich","Subfundusz Allianz Dywidendowy Akcji Europejskich",2.78,"Allianz","2016-01-18",500,100,"4.7","akcji",2.5,"4",0,"0","2.77","0.00027201","0.005253814","-0.008345173","2.657250259","0.000195856","0.015663333","0.068002438","1.318707254","zagraniczne","2018",0.0409510434072428,2.5689497716895,"Allianz Dywidendowy Akcji Europejskich2018"
"330","Allianz Europe Equity Growth Select","Subfundusz Allianz Europe Equity Growth Select",2.75,"Allianz","2016-06-10",500,100,"13.5","akcji",2.5,"4",0,"0","2.75","0.00044469","0.005454024","-0.007863568","2.38284802","-2.49763E-05","-0.001422748","0.111172556","1.368960128","zagraniczne","2018",0.0709827510768816,2.17454337899543,"Allianz Europe Equity Growth Select2018"
"331","Allianz Artificial Intelligence","",1.77,"Allianz","2016-06-10",500,100,"21.7","akcji",2.5,"4",0,"0",NA,"0.000181866","0.004113073","-0.003127715","0.831124695","9.65755E-05","0.039592668","0.045284563","1.028268151","zagraniczne","2018",0.0304245181274704,2.17454337899543,"Allianz Artificial Intelligence2018"
"332","Allianz Global Metals and Mining","",2.73,"Allianz","2016-06-10",500,100,"17.6","rynku surowców",2.5,"4",0,"0","2.72","0.000645008","0.008550024","-0.007002069","3.054005013","1.29826E-05","0.002145656","0.160606979","2.137506029","zagraniczne","2018",0.0685878668929827,2.17454337899543,"Allianz Global Metals and Mining2018"
