name;mean_daily_log_rr_16;yearly_rr_16;std_daily_log_rr_16;yearly_std_16;var16_5;var16_95;es16;eg16;mean_daily_log_rr_17;yearly_rr_17;std_daily_log_rr_17;yearly_std_17;var17_5;var17_95;es17;eg17
3131;-1.41119E-05;-0.003513868;0.001627119;0.40677969;-0.002552527;0.638131773;7.0829E-05;0.027863367;5.51582E-05;0.013734383;0.000978576;0.244644113;-0.00282452;0.58964063;7.73479E-06;-0.001014108
3132;0.000114738;0.028569802;0.000652496;0.163123968;-0.000905131;0.226282769;5.59204E-05;0.018176006;0.000169876;0.042299217;0.000474799;0.118699787;-0.001076233;0.243208311;0.000122464;0.028907052
3135;0.000400778;0.099793719;0.006850702;1.712675579;-0.012837874;3.209468467;0.00021323;0.114242005;0.000277111;0.06900054;0.005176062;1.294015485;-0.012033173;2.470452469;0.000162407;0.052988372
3136;0.00041126;0.102403792;0.008142624;2.035656093;-0.014696943;3.674235718;-0.000322389;-0.041029142;0.000537187;0.133759625;0.00669617;1.674042462;-0.01430217;3.070674675;0.000269021;0.101239806
3137;0.000179342;0.044656139;0.004478087;1.119521831;-0.008193012;2.048253075;-0.000185926;-0.03806779;0.000300499;0.074824366;0.003688717;0.922179213;-0.00763996;1.736630761;0.000132795;0.037332901
3138;0.000195013;0.048558352;0.008404452;2.101113046;-0.016047311;4.011827813;-9.58692E-05;-0.04333143;2.47143E-05;0.006153866;0.004593221;1.148305323;-0.015922093;2.494011391;-0.000684594;-0.026064283
3139;8.15435E-05;0.020304338;0.004066128;1.016532001;-0.008098156;2.024538938;-7.68064E-05;0.067673649;-0.00032091;-0.079906712;0.003205244;0.80131102;-0.006208056;1.52771978;-1.38302E-05;0.011064296
3140;0.000117357;0.029221992;0.00070314;0.175785045;-0.000940335;0.235083729;6.83975E-05;0.02006261;0.00010411;0.025923389;0.000684973;0.171243249;-0.001131229;0.283298714;0.000127662;0.030211092
3141;2.08132E-05;0.005182497;0.001025094;0.2562735;-0.001551229;0.387807204;8.12907E-05;0.023341807;0.000173608;0.043228397;0.000825377;0.206344215;-0.001433342;0.446699878;1.54435E-05;0.002757346
3142;9.18835E-05;0.022878982;0.000520354;0.130088557;-0.000907019;0.226754785;6.79474E-05;0.020506241;0.000150421;0.037454748;0.000410199;0.102549799;-0.00099298;0.194654648;9.20099E-05;0.022988907
3143;0.000158942;0.039576579;0.002790956;0.697739064;-0.005385865;1.346466311;-2.38409E-05;0.025681171;0.000251663;0.062664039;0.002390648;0.597662048;-0.004492143;1.131056916;0.000121672;0.037444859
3144;0.000658111;0.163869532;0.008196185;2.049046241;-0.014755179;3.688794665;0.000228283;0.099796457;0.000402933;0.100330261;0.00605869;1.514672435;-0.014146675;2.983759782;0.000207397;0.150196512
3145;0.000196373;0.048896808;0.008819256;2.204813953;-0.015585433;3.896358168;-0.000648624;-0.112148015;0.000583839;0.145376016;0.007237467;1.809366659;-0.015447305;3.324371177;2.94422E-05;0.035081428
3146;4.7247E-05;0.011764494;0.001014951;0.253737671;-0.002675154;0.668788462;0.000151843;0.04721843;0.000165931;0.041316747;0.001165031;0.291257662;-0.001779692;0.474862151;1.80211E-05;0.010348877
3147;0.000110429;0.0274968;0.000632049;0.158012222;-0.000996947;0.249236823;8.56021E-05;0.021399834;0.00017878;0.0445163;0.000847601;0.211900359;-0.001119229;0.288442589;0.000125928;0.026416316
3151;0.000329657;0.082414347;0.0077368;1.941936825;-0.01442902;3.621684014;-0.000622536;-0.182379925;0.000667732;0.166265162;0.006009112;1.502277959;-0.01490558;2.718788925;0.00020446;0.071082538
3152;0.000460586;0.115146488;0.006999929;1.756982146;-0.011783594;2.957682192;-0.000279107;-0.063948572;0.00030207;0.075215344;0.004205357;1.051339357;-0.011670981;2.313717803;0.000343431;0.099292208
3153;-5.06088E-05;-0.012652202;0.001777291;0.446100103;-0.002836033;0.711844222;-8.42573E-05;-0.004384007;0.000138456;0.034475637;0.000960434;0.240108595;-0.002725035;0.632711903;2.05797E-05;-0.008079056
3154;4.46271E-05;0.011156764;0.000179943;0.045165654;-0.000373228;0.093680259;6.32777E-05;0.015427096;8.93295E-05;0.022243043;0.000207067;0.051766732;-0.000342265;0.069753392;4.51493E-05;0.010703215
3155;4.87386E-05;0.012184659;0.002786525;0.699417788;-0.004929855;1.237393529;-0.000168953;-0.051743622;0.000202768;0.050489227;0.00177137;0.442842573;-0.005385335;0.89826842;-2.12051E-05;0.009420143
3156;-6.62662E-05;-0.016566538;0.004526977;1.136271337;-0.008486303;2.130061955;-0.000611049;-0.178530083;0.000251816;0.06270225;0.003335185;0.833796338;-0.008897473;1.242671255;0.000211737;0.029508221
3157;0.000363025;0.088578202;0.007392816;1.811239828;-0.012331176;3.021138151;-0.000794055;-0.247350395;0.000725744;0.175630017;0.003752962;0.91196979;-0.014192065;2.201293611;0.000547744;0.139366755
3158;0.000126781;0.030934498;0.012742741;3.121971444;-0.020703601;5.072382365;-0.000542339;-0.205752665;0.000360265;0.087184082;0.006356514;1.544632798;-0.026764299;3.43137734;3.82904E-05;-0.057118384
3159;NA;NA;NA;NA;NA;NA;NA;NA;0.000174136;0.034304804;0.004438513;0.878825489;NA;NA;NA;NA
3160;0.000385072;0.093957457;0.002766457;0.677782067;-0.00431934;1.05823834;-0.000625204;-0.137393826;0.000179616;0.043467126;0.001245742;0.30271522;-0.005440583;0.774565324;0.000471416;0.105380931
3161;NA;NA;NA;NA;NA;NA;NA;NA;0.000286013;0.068643063;0.008038213;1.937209387;-0.014974257;3.22331723;0.0012898;0.280992728
